965 866
7 304 -130
958 90 816
315 899 -89
43 812 629
161 8 -371
750 683 -658
111 807 373
725 623 37
44 166 928
241 853 -646
285 312 734
654 625 493
372 184 -115
662 701 45
440 664 -258
51 145 659
99 702 61
240 579 98
627 116 -965
958 342 -578
789 434 -705
186 965 960
302 438 -541
540 23 93
733 210 -798
617 357 861
498 184 659
419 5 -92
140 599 -636
884 338 147
509 182 160
882 399 292
532 719 616
308 638 32
25 197 -510
283 681 -718
532 494 173
409 253 -145
906 389 -485
161 448 25
726 2 -911
288 927 -658
277 253 324
816 13 896
186 351 346
677 342 -57
46 389 984
801 460 -749
688 3 918
577 292 17
390 326 397
682 847 116
583 264 240
383 593 -168
53 764 973
811 375 483
72 634 -756
618 220 168
578 250 -498
250 98 -749
417 893 850
18 609 -438
292 155 276
707 38 728
478 556 309
374 459 1000
336 794 677
197 564 519
74 963 326
694 762 -346
356 874 930
534 635 -546
136 81 303
406 881 -271
418 512 627
432 253 413
431 231 -591
893 478 -905
788 568 -315
868 502 -819
85 445 346
621 508 -840
317 182 912
464 505 731
218 612 569
182 16 619
37 945 -7
664 377 -49
659 836 193
669 840 -934
157 774 -159
746 807 -518
894 103 -78
64 173 204
728 788 -36
136 398 -33
188 504 458
759 138 310
397 114 43
534 447 -950
697 906 394
530 223 369
684 257 -701
314 141 337
801 263 796
263 502 342
352 211 -85
495 300 297
258 743 -997
730 782 -867
576 491 982
912 531 -473
882 454 398
536 813 260
631 337 142
432 250 989
580 864 -795
46 668 -571
98 725 -748
954 863 362
427 195 -272
554 478 -345
60 848 -340
309 355 31
763 847 140
907 28 -978
442 267 451
608 669 -151
744 132 -729
712 337 418
415 602 -204
403 622 397
302 77 -300
731 264 -786
449 790 -25
837 139 137
705 263 -347
354 411 904
442 826 849
647 79 -983
482 766 444
954 882 -715
435 963 284
541 945 -41
464 606 848
277 224 -72
490 60 -580
236 885 -224
540 495 -506
361 729 -453
459 558 927
690 850 715
642 483 66
491 126 -710
740 307 583
190 894 438
263 882 -724
317 503 -882
125 430 990
45 809 577
415 261 355
811 740 -755
853 182 568
288 18 101
521 418 710
98 195 484
693 504 716
868 731 377
741 668 -298
163 114 680
628 271 18
909 588 326
116 685 386
964 260 -120
668 709 438
905 809 -564
51 46 450
718 530 446
375 594 435
623 524 929
160 423 -775
800 457 718
207 545 31
37 805 34
245 883 985
124 206 917
5 950 -852
351 222 -208
309 578 -20
657 962 -781
832 448 -363
450 205 226
890 95 -309
435 873 -531
733 855 623
196 899 921
695 655 872
236 437 -859
795 537 -115
359 368 156
313 752 812
456 584 674
552 943 -319
961 740 -40
681 490 -235
150 458 -668
230 414 145
525 852 -378
877 389 790
916 315 277
555 290 504
279 726 925
260 570 -621
518 787 413
183 704 -625
676 649 -521
829 900 39
949 53 -851
298 220 -765
316 11 71
231 678 -855
511 57 516
802 680 526
680 360 821
881 611 -345
880 833 351
233 952 479
425 673 576
9 652 747
781 271 -483
965 744 -393
437 529 -958
916 339 275
138 699 -929
254 609 659
313 504 162
196 296 -186
397 219 833
38 189 -543
45 344 -935
455 726 -762
806 239 343
453 422 138
389 671 -113
729 601 -402
935 711 -492
28 111 -410
692 609 -319
194 239 832
520 335 443
611 93 -905
585 5 -244
622 382 -806
45 659 -752
300 357 -884
325 94 -534
123 578 20
636 757 -979
329 5 555
806 139 660
435 398 -697
585 451 545
264 926 227
893 900 887
193 797 133
421 387 -716
277 725 -483
704 169 -760
575 223 406
327 473 117
52 343 681
645 644 -709
168 44 -28
214 209 34
173 787 -165
889 35 180
864 522 -861
856 469 -307
231 567 714
742 870 426
182 285 -883
439 790 -329
901 327 250
744 495 567
675 913 -193
412 913 726
772 501 -808
290 360 -996
121 170 239
105 876 -32
889 760 -544
637 361 826
230 479 844
104 30 -760
915 443 311
959 666 566
712 755 -51
861 766 909
13 366 128
655 97 -316
647 799 -722
49 748 931
625 412 692
687 173 -751
398 586 322
686 529 -229
471 496 -204
771 552 499
105 816 -558
26 614 -216
42 390 -271
805 726 538
813 777 -579
325 259 -575
47 551 -138
550 810 33
33 204 -436
204 862 363
66 536 67
418 9 126
689 681 -244
854 155 411
550 116 527
945 486 133
487 446 -814
276 97 -262
255 422 -642
450 561 -155
626 553 -929
603 671 -304
857 901 246
947 813 200
274 758 865
207 565 -750
722 851 526
331 273 567
345 609 20
395 340 900
207 509 60
386 49 -152
63 880 -887
762 390 -901
761 851 765
90 106 546
40 824 194
684 218 -167
729 35 469
685 672 -673
632 883 -35
871 344 -990
862 225 140
733 248 550
202 468 703
662 187 -900
857 365 -333
412 292 -113
796 621 -416
150 518 292
864 556 895
206 261 -692
98 947 449
877 76 774
345 246 63
147 7 -324
330 451 -649
696 661 -379
387 126 938
415 350 -605
189 373 -274
422 692 296
447 305 -951
333 809 877
771 78 -274
459 193 -260
395 826 411
544 21 -291
545 443 766
380 507 -243
463 508 -690
834 47 -709
744 211 108
843 370 239
468 2 -231
20 78 72
124 198 433
369 420 -655
887 452 -466
505 653 -691
716 164 -93
139 406 404
772 753 -710
80 793 -299
455 501 620
537 439 837
465 594 58
40 545 -657
515 47 942
717 585 589
795 922 -419
508 327 727
290 824 862
869 426 -52
865 561 -962
675 378 -577
684 145 96
38 249 -685
626 702 663
951 213 403
17 65 -798
507 461 241
796 319 -309
645 29 -116
820 329 -880
417 582 148
298 498 -663
219 201 29
353 879 666
894 541 122
