9687 27657
3879 7125 290
7172 1185 -331
7892 6812 -591
6177 5372 -742
6294 5355 259
4294 5002 403
1980 9060 84
4303 5509 958
7405 2443 -179
3276 8786 366
7828 3128 781
2267 9230 -589
3572 5619 -639
4345 2758 -356
5331 9666 -572
1898 1673 -445
7338 4662 -22
7187 2599 -858
2259 1144 -669
589 4638 970
7458 8905 525
6541 5454 602
404 7109 -508
3742 3722 859
4527 4992 620
9412 3850 -39
348 102 510
4575 2384 136
6526 5246 -201
1997 4801 348
1025 6999 -35
1807 2515 545
7425 4357 38
6508 276 -949
8398 7780 418
5383 7727 540
7466 6251 -647
8525 584 -681
8508 8636 -279
4380 4550 -931
5897 683 558
998 6361 -654
3944 8034 700
2574 5626 -756
8154 8037 319
4865 6235 -985
2182 8895 124
3414 9627 581
5533 5162 -788
6356 6649 433
1715 7809 -865
3670 2723 724
9059 5084 742
1346 4236 -551
8805 2317 127
2930 4151 181
2590 5995 -710
7874 5774 -401
6777 2975 -660
10 5102 -24
5433 2856 751
8287 6535 -111
6047 4893 808
5412 2712 127
82 2769 485
7182 3502 -174
2832 479 -200
6950 5307 99
3192 41 310
9505 8458 -225
7084 3457 -43
5147 6674 820
7310 3633 -873
6611 8015 593
3524 9328 -674
2437 3005 -958
5317 3067 369
42 8755 460
4864 495 482
1158 2488 -735
1595 771 30
8361 968 571
1027 2881 717
4903 4785 -35
5224 5831 -490
2624 8213 960
386 1522 -241
4743 2237 15
1323 6816 -375
1384 6092 511
2192 7395 -45
2295 1921 -831
3250 2316 393
2873 7318 640
2386 2171 -762
330 6689 -75
7579 2895 -934
5367 7981 -677
3942 4876 -319
7849 1545 -320
1318 4584 456
4373 5873 -133
3642 9203 -999
2459 5405 727
3684 2324 -685
3523 6132 630
5728 6807 930
9126 804 -786
4064 6036 -808
8542 3898 -529
5418 1512 -112
1830 6175 96
7752 7418 -164
9224 5316 -967
3369 5747 880
7449 7342 -458
1148 4342 -792
1165 341 -107
4783 5518 736
9419 5347 287
2682 6055 -263
7960 3039 -53
3142 2062 447
8576 2434 193
8149 5697 484
7246 3894 49
1880 6270 -329
4141 936 -258
2411 3794 -274
3601 2273 -948
6669 8935 991
2197 8172 196
1065 9498 -499
9069 649 264
2267 9190 208
5612 5743 -279
9560 7802 119
1215 3267 705
7520 4128 -788
5013 5152 388
4086 1767 -671
8190 9303 -562
4402 4170 24
2301 2874 -935
6144 2690 382
5421 6300 333
1222 945 -959
2241 5984 755
3397 2153 -221
5050 5515 -191
2522 5142 331
4285 8270 -873
9150 1046 207
423 4380 -972
7685 8095 599
9053 6904 -838
8330 1505 236
7526 17 -900
2752 1461 623
777 1082 -891
109 8651 -159
488 7091 -427
4168 1579 465
2684 527 887
3134 1743 880
7078 5627 899
1516 1590 819
6547 4706 -463
2045 6385 -731
2477 4510 -332
9155 5106 -389
7980 1235 -759
1331 2301 -705
8826 5230 815
5543 8110 841
