900 2920
322 177 849
224 21 864
195 517 57
532 811 609
446 458 817
275 161 751
643 857 959
38 694 424
161 880 864
823 302 211
407 654 522
274 768 854
580 311 495
636 570 974
554 11 46
847 427 623
329 296 287
459 9 726
283 506 161
285 766 246
681 86 377
299 313 193
137 866 933
405 6 844
233 761 810
92 783 536
825 476 887
182 198 653
252 610 846
91 864 590
814 662 270
858 736 273
127 728 814
700 770 828
873 390 279
291 153 431
644 205 974
329 468 683
224 452 441
152 450 35
300 289 854
874 317 158
621 770 439
139 581 249
183 244 725
528 760 795
277 505 230
676 788 694
51 512 128
46 251 148
542 22 229
669 900 812
406 735 462
407 740 870
407 332 420
257 155 79
326 318 148
438 50 36
222 519 76
308 457 963
62 111 410
394 55 653
175 59 621
747 817 896
809 50 149
847 90 370
230 799 501
650 186 720
311 376 464
35 466 313
480 744 150
330 264 797
815 538 720
765 143 547
476 603 389
74 767 558
639 536 85
535 398 530
668 750 397
820 34 511
200 90 440
472 657 440
64 628 548
855 718 874
251 167 671
877 374 840
889 473 165
825 237 268
840 272 898
343 762 482
730 447 851
737 414 498
608 707 371
792 540 215
776 184 708
458 277 861
403 866 692
763 564 305
84 752 7
427 487 170
561 878 826
822 745 126
778 735 290
785 853 38
856 302 655
844 549 994
310 637 401
287 862 351
26 444 872
854 892 694
890 790 565
396 145 349
582 455 74
352 46 673
885 120 919
623 44 360
418 639 652
349 438 964
420 236 4
880 722 509
274 176 903
711 84 344
687 233 812
224 872 124
640 536 885
869 637 278
297 683 780
753 618 522
346 579 97
444 568 562
840 405 668
443 433 117
41 249 499
486 282 928
83 449 260
384 302 165
431 301 617
817 493 73
805 840 31
816 448 465
345 541 269
204 152 381
664 392 459
770 98 839
538 760 524
579 117 150
537 265 827
773 750 177
597 552 914
746 38 567
632 834 604
411 283 467
174 198 890
231 598 794
413 756 925
329 845 785
640 236 512
14 491 850
65 180 854
200 507 28
467 884 438
371 125 891
53 679 17
44 503 128
563 536 121
89 443 145
102 872 986
71 397 319
211 20 833
370 684 914
741 202 308
524 202 632
791 418 974
341 201 693
650 396 442
38 150 95
809 468 964
604 806 791
351 746 110
860 854 884
219 465 563
488 214 279
440 807 111
636 269 576
503 445 321
631 654 305
553 701 533
465 483 431
465 323 707
364 92 234
131 875 358
704 73 862
155 67 461
494 507 20
204 117 898
546 680 934
161 568 972
879 812 380
842 536 769
140 405 427
269 630 498
384 320 632
320 123 191
273 29 673
372 438 746
219 416 904
229 41 674
522 471 559
871 576 826
669 234 401
898 467 951
317 571 810
177 650 119
698 336 619
206 620 888
397 868 256
781 92 349
584 565 352
852 162 510
556 591 731
562 377 547
97 597 641
556 288 337
849 787 904
837 353 819
65 286 9
104 513 594
802 570 74
767 749 784
662 466 962
625 492 858
666 831 187
300 268 990
634 475 468
671 731 955
860 672 582
278 649 423
571 640 429
895 444 692
860 185 355
201 241 679
784 753 824
745 798 879
866 4 191
657 476 299
186 455 344
495 376 459
374 662 313
162 544 669
75 515 273
462 655 150
681 575 711
397 292 555
876 702 635
105 101 765
739 226 377
485 348 167
586 74 958
467 433 454
645 779 987
533 684 605
854 408 319
856 493 81
860 74 552
252 873 477
223 15 140
602 709 289
266 110 358
809 527 644
516 733 876
212 856 594
208 196 20
99 774 171
689 193 480
45 248 726
207 453 942
306 740 358
375 788 931
96 761 674
700 483 551
615 335 930
824 547 308
634 162 123
54 538 523
504 297 209
686 633 356
448 813 849
482 157 926
769 762 106
668 184 514
214 400 642
324 76 666
159 537 719
841 772 961
261 285 104
611 253 772
504 131 516
458 171 961
231 886 439
765 369 649
144 752 153
898 826 105
331 799 244
162 869 418
678 596 539
339 522 548
86 708 8
111 815 624
11 413 667
694 398 712
337 424 171
761 262 756
138 416 61
548 664 751
851 779 603
885 846 934
727 61 791
898 539 149
579 420 82
236 805 869
22 759 357
287 263 47
277 538 774
559 9 605
729 194 77
516 672 808
173 639 854
205 214 916
706 608 487
641 707 545
126 457 334
223 83 636
518 237 90
254 723 122
822 594 256
467 131 676
463 74 18
443 574 965
35 244 901
760 892 404
658 818 813
604 278 612
507 310 725
532 212 295
268 729 882
233 255 633
611 835 625
200 211 359
33 788 194
779 606 332
851 709 795
439 135 166
504 749 202
404 166 433
841 838 534
722 685 885
856 334 851
359 147 353
224 802 202
541 800 536
310 311 39
670 88 262
498 500 204
343 496 896
767 314 221
175 242 942
790 808 898
763 851 525
591 826 274
100 454 737
468 144 772
766 358 895
870 32 578
661 768 552
222 483 950
464 285 57
27 674 1
102 859 57
493 829 785
107 210 466
175 229 42
355 890 80
473 747 342
205 151 655
149 528 658
529 338 231
214 489 899
641 638 908
138 217 264
723 149 839
46 688 442
800 46 442
227 653 470
657 148 949
269 420 954
151 893 234
576 450 346
722 873 412
222 130 160
682 646 722
861 567 227
